Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
CD-535815,02:54.1,-54:12:51.496,N/A,N/A,10.94,9.72,9.339,787.53,CD-535815_harps_all-data_v1.dat,CD-535815_harps_all-data_v1.csv
CD-535820,03:15.8,-54:16:39.163,N/A,4581.1,10.91,9.69,9.304,813.6,CD-535820_harps_all-data_v1.dat,CD-535820_harps_all-data_v1.csv
CD-535829,03:50.0,-54:14:30.308,N/A,4851.9,11.33,10.26,9.953,813.54,CD-535829_harps_all-data_v1.dat,CD-535829_harps_all-data_v1.csv
CD-536474,12:56.9,-54:13:13.514,K2Ib,4100,10.57,8.79,8.104,1796.95,CD-536474_harps_all-data_v1.dat,CD-536474_harps_all-data_v1.csv
CD-546002,04:30.5,-54:35:48.844,N/A,4817.1,11.51,10.47,10.15,836.4,CD-546002_harps_all-data_v1.dat,CD-546002_harps_all-data_v1.csv
CD-546003,04:30.4,-54:31:44.812,N/A,4348.2,10.8,9.47,9.034,814.27,CD-546003_harps_all-data_v1.dat,CD-546003_harps_all-data_v1.csv
CD-551709,10:31.3,-55:58:18.712,N/A,6511.5,10.66,10.24,10.1,nan,CD-551709_harps_all-data_v1.dat,CD-551709_harps_all-data_v1.csv
CD-567708,25:58.5,-56:33:36.499,G5V+DA1.0,5509.5,11.37,10.571,10.414,130.9,CD-567708_harps_all-data_v1.dat,CD-567708_harps_all-data_v1.csv
CD-584411,09:41.9,-58:54:45.066,K1Ve,3825.5,11.17,10.09,9.968,95,CD-584411_harps_all-data_v1.dat,CD-584411_harps_all-data_v1.csv
CD-60370,54:31.2,-59:30:34.727,N/A,5727,11.241,10.599,10.504,214.57,CD-60370_harps_all-data_v1.dat,CD-60370_harps_all-data_v1.csv
CD-692101,31:00.8,-69:05:10.840,K3V,4797,9.89,8.98,8.847,30.27,CD-692101_harps_all-data_v1.dat,CD-692101_harps_all-data_v1.csv
CD-8028,05:38.2,-80:03:40.695,K2,5126.9,10.98,10.25,9.905,400.21,CD-8028_harps_all-data_v1.dat,CD-8028_harps_all-data_v1.csv
CD-8480,30:59.4,-84:19:27.687,G9V,5151,10.82,9.98,9.679,69.16,CD-8480_harps_all-data_v1.dat,CD-8480_harps_all-data_v1.csv
CoRoT-13,50:53.1,-05:05:11.190,G0V,5305.4,15.33,15.039,14.915,1184.97,CoRoT-13_harps_all-data_v1.dat,CoRoT-13_harps_all-data_v1.csv
CoRoT-1,48:19.2,-03:06:07.710,G0V,5907.7,nan,13.6,13.457,805.28,CoRoT-1_harps_all-data_v1.dat,CoRoT-1_harps_all-data_v1.csv
CoRoT-22,42:40.1,+06:13:08.983,G8V,N/A,14.74,13.944,13.731,638.49,CoRoT-22_harps_all-data_v1.dat,CoRoT-22_harps_all-data_v1.csv
CoRoT-24,47:41.4,-03:43:09.483,N/A,5026.2,nan,nan,15.18,601.21,CoRoT-24_harps_all-data_v1.dat,CoRoT-24_harps_all-data_v1.csv
CoRoT-25,42:31.1,+06:30:49.746,N/A,5018,15.84,15.02,14.711,1137.79,CoRoT-25_harps_all-data_v1.dat,CoRoT-25_harps_all-data_v1.csv
CoRoT-32,40:46.8,+09:15:26.693,K0V,5740.6,14.4,13.72,13.587,586.2,CoRoT-32_harps_all-data_v1.dat,CoRoT-32_harps_all-data_v1.csv
CoRoT-7,43:49.5,-01:03:46.825,K0V,5101.2,12.78,11.73,11.524,160.64,CoRoT-7_harps_all-data_v1.dat,CoRoT-7_harps_all-data_v1.csv
CoRoT101332685,27:55.8,+01:38:06.396,N/A,N/A,17.145,15.767,15.193,nan,CoRoT101332685_harps_all-data_v1.dat,CoRoT101332685_harps_all-data_v1.csv
CoRoT101614469,29:56.8,+00:05:53.100,N/A,4329,16.591,15.106,14.732,nan,CoRoT101614469_harps_all-data_v1.dat,CoRoT101614469_harps_all-data_v1.csv
CoRoT102296945,09:33.2,+04:41:12.323,G8III,4689.8,nan,nan,13.117,179.66,CoRoT102296945_harps_all-data_v1.dat,CoRoT102296945_harps_all-data_v1.csv
CoRoT102352354,12:11.0,+05:02:26.984,G8V,5026.2,nan,nan,13.863,458.04,CoRoT102352354_harps_all-data_v1.dat,CoRoT102352354_harps_all-data_v1.csv
CoRoT102387834,13:50.8,+05:18:08.670,G0III,4364.5,nan,nan,14.016,2838.49,CoRoT102387834_harps_all-data_v1.dat,CoRoT102387834_harps_all-data_v1.csv
CoRoT102568803,40:33.1,+00:16:58.890,K6III,4506.3,nan,nan,13.674,199.82,CoRoT102568803_harps_all-data_v1.dat,CoRoT102568803_harps_all-data_v1.csv
CoRoT102615551,41:48.0,-00:35:15.755,K9V,4173,16.028,14.65,14.142,nan,CoRoT102615551_harps_all-data_v1.dat,CoRoT102615551_harps_all-data_v1.csv
CoRoT102755837,44:54.3,-00:45:45.828,K4III,4916.7,nan,13.876,13.591,1329.43,CoRoT102755837_harps_all-data_v1.dat,CoRoT102755837_harps_all-data_v1.csv
CoRoT104620638,36:04.9,+09:26:13.180,N/A,N/A,15.341,14.6,14.441,836.61,CoRoT104620638_harps_all-data_v1.dat,CoRoT104620638_harps_all-data_v1.csv
CoRoT110676555,51:59.1,-05:36:48.873,G8V,5383,nan,13.953,13.839,nan,CoRoT110676555_harps_all-data_v1.dat,CoRoT110676555_harps_all-data_v1.csv
CoRoT110752102,51:18.0,-03:22:15.205,G8V,5296,nan,14.842,14.673,957.03,CoRoT110752102_harps_all-data_v1.dat,CoRoT110752102_harps_all-data_v1.csv
CoRoT110838244,50:50.3,-05:00:35.752,F8IV,5836.8,nan,nan,14.793,1709.99,CoRoT110838244_harps_all-data_v1.dat,CoRoT110838244_harps_all-data_v1.csv
CoRoT110858446,53:25.1,-05:42:47.045,F4V,5906.7,13.876,13.37,13.243,825.56,CoRoT110858446_harps_all-data_v1.dat,CoRoT110858446_harps_all-data_v1.csv
CoRoT221699621,29:30.2,+06:16:30.661,K0V,5854.2,nan,nan,13.653,733.14,CoRoT221699621_harps_all-data_v1.dat,CoRoT221699621_harps_all-data_v1.csv
CoRoT604178318,08:34.5,+06:35:17.006,N/A,5633.4,nan,nan,13.281,625.35,CoRoT604178318_harps_all-data_v1.dat,CoRoT604178318_harps_all-data_v1.csv
CoRoT631423929,34:29.9,+06:52:46.500,F8IV,N/A,nan,nan,12.618,555.68,CoRoT631423929_harps_all-data_v1.dat,CoRoT631423929_harps_all-data_v1.csv
EPIC210558622,03:10.3,+16:20:50.761,K7V,4430.4,nan,nan,12.008,100.22,EPIC210558622_harps_all-data_v1.dat,EPIC210558622_harps_all-data_v1.csv
EPIC210744674,23:26.2,+19:01:38.982,N/A,4496.4,nan,nan,nan,nan,EPIC210744674_harps_all-data_v1.dat,EPIC210744674_harps_all-data_v1.csv
EPIC210968143,56:36.6,+22:28:21.529,K5V,4110.9,15.18,13.86,13.229,134.71,EPIC210968143_harps_all-data_v1.dat,EPIC210968143_harps_all-data_v1.csv
EPIC212460519,34:11.2,-13:34:36.966,K7V,4309.7,14.15,12.92,12.401,103.25,EPIC212460519_harps_all-data_v1.dat,EPIC212460519_harps_all-data_v1.csv
EPIC212469831,28:16.5,-13:22:46.520,N/A,5367,nan,nan,nan,nan,EPIC212469831_harps_all-data_v1.dat,EPIC212469831_harps_all-data_v1.csv
EPIC212572439,37:45.6,-11:11:33.271,K2V,4947.8,nan,nan,13.052,287.74,EPIC212572439_harps_all-data_v1.dat,EPIC212572439_harps_all-data_v1.csv
EPIC212645891,01:05.5,-09:32:24.403,N/A,5543,nan,nan,nan,nan,EPIC212645891_harps_all-data_v1.dat,EPIC212645891_harps_all-data_v1.csv
EPIC212735333,29:34.5,-07:22:26.371,N/A,5440.2,12.88,12.16,11.994,249.39,EPIC212735333_harps_all-data_v1.dat,EPIC212735333_harps_all-data_v1.csv
EPIC219409830,13:43.3,-16:49:11.054,N/A,5418.7,nan,nan,12.276,313.05,EPIC219409830_harps_all-data_v1.dat,EPIC219409830_harps_all-data_v1.csv
EPIC219503117,16:59.4,-16:35:27.120,N/A,5441.3,nan,nan,12.419,305.02,EPIC219503117_harps_all-data_v1.dat,EPIC219503117_harps_all-data_v1.csv
EPIC219661601,13:41.3,-16:10:20.171,N/A,N/A,nan,nan,11.813,306.06,EPIC219661601_harps_all-data_v1.dat,EPIC219661601_harps_all-data_v1.csv
EPIC219722212,15:21.4,-16:00:10.691,N/A,5140.2,nan,nan,12.766,321.83,EPIC219722212_harps_all-data_v1.dat,EPIC219722212_harps_all-data_v1.csv
GJ1001,04:36.4,-40:44:02.887,M4V,N/A,14.47,12.84,11.5,12.31,GJ1001_harps_all-data_v1.dat,GJ1001_harps_all-data_v1.csv
GJ1002,06:43.2,-07:32:17.024,M5.5V,N/A,15.72,13.837,11.78,4.85,GJ1002_harps_all-data_v1.dat,GJ1002_harps_all-data_v1.csv
GJ1008,19:05.6,-09:57:53.469,M0V,N/A,11.246,9.897,9.312,20.2,GJ1008_harps_all-data_v1.dat,GJ1008_harps_all-data_v1.csv
GJ1009,21:56.0,-31:24:21.812,M1.5,3800,12.635,11.13,10.177,18.05,GJ1009_harps_all-data_v1.dat,GJ1009_harps_all-data_v1.csv
GJ1012,28:39.5,-06:39:49.181,M4.18,N/A,13.71,12.23,10.895,13.37,GJ1012_harps_all-data_v1.dat,GJ1012_harps_all-data_v1.csv
GJ1020,45:28.7,-12:52:50.911,G0V,5842.5,6.76,6.15,5.981,32.45,GJ1020_harps_all-data_v1.dat,GJ1020_harps_all-data_v1.csv
GJ1021,45:45.6,-47:33:07.146,G3V,5895.5,6.44,5.8,5.619,14.99,GJ1021_harps_all-data_v1.dat,GJ1021_harps_all-data_v1.csv
GJ1022,49:29.1,-61:02:32.763,M2.0V,N/A,13.63,12.18,11.163,19.51,GJ1022_harps_all-data_v1.dat,GJ1022_harps_all-data_v1.csv
GJ1032,09:12.5,-24:41:20.916,M3,N/A,13.783,12.25,11.117,20.38,GJ1032_harps_all-data_v1.dat,GJ1032_harps_all-data_v1.csv
GJ1043,12:48.1,+21:12:39.577,F5V,6410,nan,nan,5.075,30,GJ1043_harps_all-data_v1.dat,GJ1043_harps_all-data_v1.csv
GJ1044,13:12.2,-21:11:47.237,K7V,N/A,11.195,9.831,9.26,23.75,GJ1044_harps_all-data_v1.dat,GJ1044_harps_all-data_v1.csv
GJ1046,19:10.1,-36:46:41.180,M2.5+V,N/A,13.149,11.595,10.529,15.2,GJ1046_harps_all-data_v1.dat,GJ1046_harps_all-data_v1.csv
GJ1048,36:00.8,-23:31:16.766,K3.5Vk:,4715.1,9.406,8.328,7.987,21.22,GJ1048_harps_all-data_v1.dat,GJ1048_harps_all-data_v1.csv
GJ1050,39:50.7,-34:07:57.562,M3,N/A,13.32,11.73,10.679,10.87,GJ1050_harps_all-data_v1.dat,GJ1050_harps_all-data_v1.csv
GJ1056,08:22.4,-60:10:21.177,K5Vk:,4366.4,10.487,9.259,8.8,21.94,GJ1056_harps_all-data_v1.dat,GJ1056_harps_all-data_v1.csv
GJ1057,13:22.9,+04:46:29.343,M4.5Ve,N/A,15.61,14.001,12.123,8.61,GJ1057_harps_all-data_v1.dat,GJ1057_harps_all-data_v1.csv
GJ105A,36:04.9,+06:53:12.431,K3V,N/A,6.81,nan,5.478,7.24,GJ105A_harps_all-data_v1.dat,GJ105A_harps_all-data_v1.csv
GJ105B,36:15.3,+06:52:17.924,M3.5V,N/A,13.28,nan,10.318,7.22,GJ105B_harps_all-data_v1.dat,GJ105B_harps_all-data_v1.csv
GJ1061,35:59.7,-44:30:45.725,M5.5V,N/A,14.98,13.07,10.989,3.67,GJ1061_harps_all-data_v1.dat,GJ1061_harps_all-data_v1.csv
GJ1065,50:44.3,-06:05:41.629,M3V,N/A,14.48,12.843,11.456,9.94,GJ1065_harps_all-data_v1.dat,GJ1065_harps_all-data_v1.csv
GJ1066,56:36.4,-41:20:36.849,K6Vk:,4274.9,10.085,8.847,8.37,17.57,GJ1066_harps_all-data_v1.dat,GJ1066_harps_all-data_v1.csv
GJ1068,10:28.1,-53:36:08.138,M4.5,N/A,15.51,13.58,11.914,7.11,GJ1068_harps_all-data_v1.dat,GJ1068_harps_all-data_v1.csv
GJ1075,05:47.4,-57:33:13.797,K7Vk,3968.5,10.347,8.932,8.285,11.7,GJ1075_harps_all-data_v1.dat,GJ1075_harps_all-data_v1.csv
GJ1079,26:14.7,-32:30:17.136,K2/3V,N/A,8.673,7.711,7.409,17.88,GJ1079_harps_all-data_v1.dat,GJ1079_harps_all-data_v1.csv
GJ1084,47:18.2,-48:31:30.503,K7.0,N/A,11.12,9.722,9.106,20.79,GJ1084_harps_all-data_v1.dat,GJ1084_harps_all-data_v1.csv
GJ1085,48:34.9,-04:05:40.719,G2V,5717,6.61,5.97,5.792,15.25,GJ1085_harps_all-data_v1.dat,GJ1085_harps_all-data_v1.csv
GJ1089,31:18.3,-51:49:33.446,F8VFe-0.4,6156,6.102,5.573,5.43,36.86,GJ1089_harps_all-data_v1.dat,GJ1089_harps_all-data_v1.csv
GJ108,42:33.5,-50:48:01.056,F8V,N/A,5.97,5.4,5.224,17.33,GJ108_harps_all-data_v1.dat,GJ108_harps_all-data_v1.csv
GJ1094,02:42.9,-06:47:57.214,K4V,N/A,9.442,8.351,7.985,19.11,GJ1094_harps_all-data_v1.dat,GJ1094_harps_all-data_v1.csv
GJ1099,34:17.6,+00:59:09.267,M2.5Ve,N/A,13.4,nan,10.87,15.6,GJ1099_harps_all-data_v1.dat,GJ1099_harps_all-data_v1.csv
GJ10,11:15.9,-15:28:04.740,F8VFe-0.8CH-0.5,N/A,5.38,4.89,4.691,17.99,GJ10_harps_all-data_v1.dat,GJ10_harps_all-data_v1.csv
GJ1123,17:05.3,-77:49:23.382,M4.5V,N/A,14.74,13.1,11.562,9.51,GJ1123_harps_all-data_v1.dat,GJ1123_harps_all-data_v1.csv
GJ1126,30:28.1,-32:06:12.253,K3.5V,N/A,9.311,8.319,7.993,19.63,GJ1126_harps_all-data_v1.dat,GJ1126_harps_all-data_v1.csv
GJ1129,44:47.3,-18:12:48.962,M3.5Ve,N/A,14.19,12.455,11.085,11.01,GJ1129_harps_all-data_v1.dat,GJ1129_harps_all-data_v1.csv
GJ1132,14:51.8,-47:09:24.189,M4,N/A,15.25,13.52,12.138,12.62,GJ1132_harps_all-data_v1.dat,GJ1132_harps_all-data_v1.csv
GJ1135,41:09.3,-36:53:43.665,M0.5,N/A,11.422,9.944,9.259,15.63,GJ1135_harps_all-data_v1.dat,GJ1135_harps_all-data_v1.csv
GJ1137,44:20.9,-33:34:37.286,K2IV-V,4997.1,9.27,8.33,8.042,28.54,GJ1137_harps_all-data_v1.dat,GJ1137_harps_all-data_v1.csv
GJ1144,16:22.1,-14:41:36.154,K7V,4017.7,11.397,9.98,9.328,18.27,GJ1144_harps_all-data_v1.dat,GJ1144_harps_all-data_v1.csv
GJ1145,17:07.5,-27:48:48.710,K7,4077,11.169,9.758,9.105,17.66,GJ1145_harps_all-data_v1.dat,GJ1145_harps_all-data_v1.csv
GJ115,50:41.4,-44:04:52.687,F8V,N/A,8.74,8.19,8.011,64.79,GJ115_harps_all-data_v1.dat,GJ115_harps_all-data_v1.csv
GJ1161,35:33.6,-34:52:54.906,K3.5Vk:,N/A,8.89,7.844,7.491,21.68,GJ1161_harps_all-data_v1.dat,GJ1161_harps_all-data_v1.csv
GJ1177,47:42.2,-32:25:48.140,K6+K7V,4237.3,nan,nan,nan,nan,GJ1177_harps_all-data_v1.dat,GJ1177_harps_all-data_v1.csv
GJ117,52:32.1,-12:46:10.970,K1V,N/A,6.91,6.05,5.797,10.36,GJ117_harps_all-data_v1.dat,GJ117_harps_all-data_v1.csv
GJ118,52:22.2,-63:40:47.320,M2.5,N/A,12.967,11.382,10.318,11.74,GJ118_harps_all-data_v1.dat,GJ118_harps_all-data_v1.csv
GJ1191,22:36.7,-10:39:40.054,K2V,4976.5,8.932,7.942,7.673,22.12,GJ1191_harps_all-data_v1.dat,GJ1191_harps_all-data_v1.csv
GJ1214,15:18.9,+04:57:50.064,M4.5V,N/A,16.4,nan,13.009,14.65,GJ1214_harps_all-data_v1.dat,GJ1214_harps_all-data_v1.csv
GJ121,02:23.5,-23:37:28.093,A3IV-V,7562.8,4.25,4.09,3.994,25.92,GJ121_harps_all-data_v1.dat,GJ121_harps_all-data_v1.csv
GJ1224,07:32.8,-15:57:47.066,M4.0Ve,N/A,15.44,13.48,11.878,7.96,GJ1224_harps_all-data_v1.dat,GJ1224_harps_all-data_v1.csv
GJ1232,09:50.9,+17:40:06.408,M4V,N/A,15.44,13.55,11.956,10.26,GJ1232_harps_all-data_v1.dat,GJ1232_harps_all-data_v1.csv
GJ1236,22:02.1,+07:02:30.314,M4V,N/A,14.01,nan,11.259,10.62,GJ1236_harps_all-data_v1.dat,GJ1236_harps_all-data_v1.csv
GJ1239,32:30.3,-35:27:06.210,K4+V,N/A,9.742,8.645,8.281,21.12,GJ1239_harps_all-data_v1.dat,GJ1239_harps_all-data_v1.csv
GJ1247,58:33.0,-54:56:12.809,K3+V,4746.9,9.59,8.54,8.195,23.63,GJ1247_harps_all-data_v1.dat,GJ1247_harps_all-data_v1.csv
GJ1248,03:51.0,+05:59:44.238,M2.5Ve,N/A,13.7,nan,11.118,13.26,GJ1248_harps_all-data_v1.dat,GJ1248_harps_all-data_v1.csv
GJ1256,40:33.9,+15:29:58.728,M4.5V,N/A,15.13,13.41,11.845,9.53,GJ1256_harps_all-data_v1.dat,GJ1256_harps_all-data_v1.csv
GJ1265,13:42.9,-17:41:08.676,M5,N/A,15.32,13.672,12.081,10.26,GJ1265_harps_all-data_v1.dat,GJ1265_harps_all-data_v1.csv
